Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용,label
2020-11-02,1.0227506426735218,1.0026349614395886,1.04293059125964,1.013550046468924,1.013942672208103,1.032035331304747,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.13753213367609263
2020-11-03,1.0159846547314575,0.9970588235294118,1.036231884057971,1.006844620480749,1.007922334708329,1.0258791199016917,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.11892583120204603
2020-11-04,0.952568697729988,0.934468339307049,0.9679609717244126,0.9514687128210612,0.947244128639492,0.9598294226849258,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.03703703703703698
2020-11-05,0.9495848161328588,0.9322657176749704,0.9608540925266904,0.954751840146776,0.9461686368273085,0.9545389491171204,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.029655990510083052
2020-11-06,0.950117924528302,0.9324882075471698,0.9548545597484276,0.9583728785584896,0.9462479254303122,0.9505858280281128,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.017688679245283057
2020-11-09,0.960308056872038,0.942239336492891,0.9594391785150078,0.9696576700946136,0.9554246543970428,0.956563401210134,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.023696682464454888
2020-11-10,1.0188205771643664,1.0005018820577165,1.0151191969887077,1.0219595827579198,1.0106464574243283,1.0125476916852096,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.08531994981179425
2020-11-11,1.0136079900124844,0.9985642946317104,1.0090303786933,1.0137914070051706,1.0050662448592,1.0072456582164429,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.10861423220973787
2020-11-12,1.0236409608091024,1.01378002528445,1.0195533080488832,1.0217701704517037,1.0160798976890113,1.019324419424486,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.1340075853350189
2020-11-13,1.0060643564356435,0.9949876237623764,0.9967821782178218,1.0002229796856077,0.9952065524733704,0.9979478033217284,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.11138613861386149
2020-11-16,1.018875,1.00675,1.0060416666666667,1.008366080485652,1.0046673210459036,1.007667370490849,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.1412500000000001
2020-11-17,1.0339670468948037,1.020468948035488,1.0189691592733416,1.018347249625152,1.016895605039395,1.0210039661569548,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.1799746514575411
2020-11-18,1.015125,1.005875,1.0053125,1.0035549794986596,1.0026358342348551,1.006736795667467,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.22249999999999992
2020-11-19,0.9789855072463768,0.9728864734299516,0.9714170692431564,0.9751422762835256,0.9717083437065676,0.9735878822266664,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.18961352657004826
2020-11-20,0.9765700483091788,0.97481884057971,0.9711553945249596,0.9796618624137936,0.9744027871630851,0.9744538533012016,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.15096618357487923
2020-11-23,0.981021897810219,0.9835158150851582,0.9781630170316302,0.9892103736681696,0.9832756718601354,0.9821710271124068,2020,Q4,-0.0494527910727735,-0.0218783733561593,0.1132661796487384,-0.1760384997578216,-0.0498202231761497,0.0374733656880506,-0.0142812029314615,0.5223940007670993,-0.2524584870691598,-0.384795752666051,-0.3882800822736704,-0.3882800822736704,0.0,0.054108758608927,0.0474853934775385,0.15206812652068136
