Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,label
2021-07-23,1.0160337552742615,1.030379746835443,1.048804500703235,1.0129965909668877,1.0254921307647884,1.0523177951438367,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.10548523206751059
2021-07-26,1.0264957264957264,1.0397435897435898,1.0603988603988603,1.021259412794239,1.0349595166532035,1.0636513751923966,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.10683760683760679
2021-07-27,1.0293103448275862,1.0448275862068963,1.067816091954023,1.0245973053858413,1.03970238321842,1.070433216923843,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.08620689655172409
2021-07-28,1.0390350877192982,1.0572368421052631,1.0839912280701751,1.0348322063977815,1.0524244162963232,1.0862877389454677,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.0964912280701754
2021-07-29,1.030701754385965,1.0526315789473684,1.081359649122807,1.0284990779618213,1.0474316147442926,1.083458632750534,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.07894736842105265
2021-07-30,1.0364444444444445,1.0622222222222222,1.0933333333333333,1.0345374173647102,1.0555500010734973,1.0946947561209606,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.053333333333333344
2021-08-02,1.0025862068965516,1.027155172413793,1.058405172413793,1.0027187579010728,1.0214442230273402,1.0596433640125602,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.07327586206896552
2021-08-03,0.9704166666666668,0.9908333333333332,1.0217361111111112,0.9748775630672122,0.9885964553778802,1.0235244785931643,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.10416666666666663
2021-08-04,0.965702479338843,0.981611570247934,1.01301652892562,0.9728533193933802,0.9822904046680704,1.0145716445521749,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.14049586776859502
2021-08-05,0.9741666666666666,0.9891666666666666,1.0215277777777778,0.9844221703177204,0.9913831906078944,1.0222714440516365,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.10833333333333328
2021-08-06,0.9902542372881356,1.0052966101694916,1.038912429378531,1.0009059660578876,1.00740664833979,1.0382997810343964,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.10593220338983056
