Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,부채총계,자본금,이익잉여금,자본총계,법인세차감전 순이익,당기순이익,당기손익-공정가치측정금융자산,순이자손익,이자수익,이자비용,영업이익(손실),당기순이익(손실),총포괄손익,순수수료손익,영업이익,label
2023-11-22,0.9895412844036696,0.974954128440367,1.0019266055045872,0.9901856290973208,0.9891039653608644,0.9859073092020112,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.04220183486238527
2023-11-23,0.9948434622467772,0.9794659300184162,1.0059545733578883,0.9949540449895126,0.9934378287566212,0.9898816389635804,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.03499079189686927
2023-11-24,1.0063314711359403,0.9915270018621974,1.017566728739913,1.0049670590593784,1.0041055315493537,1.000910891335477,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.04469273743016755
2023-11-27,1.0303435114503816,1.0173664122137405,1.0427480916030534,1.0244631846693226,1.0262530660121825,1.0248986287755577,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.026717557251908386
2023-11-28,1.0282442748091605,1.0182251908396946,1.042589058524173,1.0200153329112638,1.0237527740110224,1.024082280291113,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.026717557251908386
2023-11-29,1.0365570599613152,1.0323984526112189,1.056415215989684,1.027675806226397,1.0340317415541809,1.0367038011694216,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.0019342359767892114
2023-11-30,1.0190839694656488,1.019942748091603,1.041762086513995,1.0114114376078118,1.0182927841954486,1.0221053700122285,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.024809160305343525
2023-12-01,1.023699421965318,1.0290944123314063,1.051252408477842,1.0173088701626276,1.0254264574226888,1.030904628045676,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.040462427745664775
2023-12-04,1.0269902912621358,1.033009708737864,1.0586084142394825,1.02062660768396,1.030210845736952,1.0376358623392212,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.04077669902912617
2023-12-05,1.0219417475728156,1.0322330097087378,1.057831715210356,1.0168763153777856,1.0273336223334328,1.0364018996395747,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.03883495145631066
2023-12-06,1.0073076923076922,1.0222115384615384,1.0469230769230768,1.0058079933174888,1.0157929940048205,1.025569726372903,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,-0.05192307692307696
2023-12-07,1.0134241245136186,1.0321984435797666,1.058236057068742,1.0143582258093118,1.0250171188408026,1.0363104932423506,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.0
2023-12-08,1.001930501930502,1.0225868725868723,1.0493243243243244,1.005338917619143,1.015473173616407,1.0273799613288033,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.005791505791505891
2023-12-11,1.004263565891473,1.0252906976744185,1.0522286821705429,1.0075563837104375,1.017560628897442,1.0303337901299685,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.025193798449612448
2023-12-12,0.99404990403071,1.0141074856046066,1.0412667946257197,0.9982711299862628,1.0070527744914104,1.0197753974612744,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.03262955854126681
2023-12-13,1.005242718446602,1.0229126213592232,1.0521035598705502,1.0081012053849223,1.016996339777205,1.0306183651937646,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.07961165048543695
2023-12-14,0.9965317919075144,1.0127167630057805,1.042646114322415,1.000271341208463,1.008286006488664,1.0219318053764344,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.07707129094412335
2023-12-15,0.974624060150376,0.986654135338346,1.0158834586466166,0.9802234167438024,0.9852048254551304,0.9970594666717548,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.06390977443609014
2023-12-18,0.9895238095238096,0.9984761904761904,1.027936507936508,0.994512505518498,0.998498900290291,1.0100141308319452,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.16761904761904756
2023-12-19,1.0,1.0060576923076925,1.036474358974359,1.0033341938068012,1.0073284368494189,1.0190790574564788,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.2749999999999999
2023-12-20,0.9796992481203008,0.9821428571428572,1.0119674185463658,0.9842112144593008,0.9860727672817992,0.99622043272417,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.1785714285714286
2023-12-21,0.9847457627118644,0.9828625235404896,1.012554927809165,0.988598406921954,0.989079323081735,0.9981589621297968,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.18832391713747643
2023-12-22,0.9973333333333332,0.9929523809523808,1.0225396825396826,0.9999154608969728,1.0003466023194216,1.0092528376132524,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.23238095238095235
2023-12-26,0.9990476190476192,0.9930476190476192,1.0209841269841269,0.9999308316429778,1.0003135925747149,1.008949465888228,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.28761904761904766
2023-12-27,1.0032504780114724,0.9967495219885276,1.0238049713193116,1.003071993657756,1.0037447041730658,1.012387853991407,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.3326959847036328
2023-12-28,0.9746765249537892,0.965804066543438,0.9893715341959336,0.9752075069983293,0.9731723550187268,0.9794022002549272,2023,Q4,-0.068105735436267,0.0,-0.0541869622156578,-0.0173400775993723,-71.42372165551296,-73.10156197626868,-0.1094306636972891,2.259638752052545,1.804505577818694,2.087824024858942,-51.32984511632636,-73.10156197626868,-72.91955714620197,2.856007480130902,0.3023795457915834,0.24399260628465802
