Date,Close,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60
2015-01-02,180500,180500.0,180500.0,180500.0,180500.0,180500.0,180500.0
2015-01-05,193500,187000.0,187000.0,187000.0,187650.0,187325.0,187108.3333333333
2015-01-06,194000,189333.33333333334,189333.33333333334,189333.33333333334,190202.65780730898,189776.0199833472,189482.5479122303
2015-01-07,190000,189500.0,189500.0,189500.0,190135.8910891089,189840.6795511222,189618.44973618435
2015-01-08,191000,189800.0,189800.0,189800.0,190383.9532558185,190121.10930210285,189913.4822025806
2015-01-09,193000,190333.33333333334,190333.33333333334,190333.33333333334,191063.43095829434,190728.42373910907,190471.70617937474
2015-01-12,196500,191214.2857142857,191214.2857142857,191214.2857142857,192373.4257051148,191819.68595308272,191421.35932438567
2015-01-13,193500,191500.0,191500.0,191500.0,192629.7267864698,192110.13667931763,191712.49515034264
2015-01-14,191500,191500.0,191500.0,191500.0,192383.93777169488,192012.26777253218,191685.61632836924
2015-01-15,192000,191550.0,191550.0,191550.0,192303.28927577753,192010.42035228707,191721.97610116052
2015-01-16,193000,192800.0,191681.81818181818,191681.81818181818,192445.6185664993,192151.62626777016,191858.4736754353
2015-01-19,189000,192350.0,191458.33333333334,191458.33333333334,191757.19028309456,191722.2860369397,191574.2180236083
2015-01-20,183000,191250.0,190807.6923076923,190807.6923076923,190038.4231051665,190580.85253242013,190774.85336774116
2015-01-21,185500,190800.0,190428.57142857142,190428.57142857142,189160.35916426653,189938.82454007995,190311.11407312786
2015-01-22,181500,189850.0,189833.33333333334,189833.33333333334,187695.35861635284,188904.6630363604,189576.95682568362
2015-01-23,183500,188900.0,189437.5,189437.5,186900.5122784072,188259.93948458866,189094.9713442369
2015-01-26,189500,188200.0,189441.17647058822,189441.17647058822,187389.27302898528,188404.39220358978,189125.66744602364
2015-01-27,189000,187750.0,189416.66666666666,189416.66666666666,187690.25781523512,188472.32992829866,189116.53608091816
2015-01-28,217000,190300.0,190868.42105263157,190868.42105263157,193139.66567226022,191666.19615025024,191064.93584762217
2015-01-29,208000,191900.0,191725.0,191725.0,195891.27052958054,193464.80591597772,192205.9785340855
2015-01-30,202000,192800.0,192800.0,192214.2857142857,197018.617397328,194390.88761826037,192843.8123680731
2015-02-02,200500,193950.0,193150.0,192590.9090909091,197659.34729123552,195045.0591516928,193326.8013072913
