Date,Close,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60
2015-01-02,26600,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0
2015-01-05,26660,26630.0,26630.0,26630.0,26633.0,26631.500000000004,26630.499999999996
2015-01-06,25900,26386.666666666668,26386.666666666668,26386.666666666668,26338.338870431893,26362.89758534555,26378.83899638922
2015-01-07,26140,26325.0,26325.0,26325.0,26272.995049504952,26298.55049875312,26316.11114968064
2015-01-08,26280,26316.0,26316.0,26316.0,26275.0059802749,26294.06329096606,26308.39955073725
2015-01-09,26280,26310.0,26310.0,26310.0,26276.303099700028,26291.09657894683,26303.263241409964
2015-01-12,26320,26311.428571428572,26311.428571428572,26311.428571428572,26286.83229732562,26296.561500455988,26305.899827466525
2015-01-13,26780,26370.0,26370.0,26370.0,26399.030326393644,26380.12627427911,26372.302619895323
2015-01-14,26900,26428.88888888889,26428.88888888889,26428.88888888889,26508.02379630383,26463.516561943325,26439.05183234931
2015-01-15,26680,26454.0,26454.0,26454.0,26544.14845812192,26496.117091921566,26466.918485171347
2015-01-16,26320,26426.0,26441.81818181818,26441.81818181818,26498.35773041858,26470.986446546554,26451.227059635235
2015-01-19,26860,26446.0,26476.666666666668,26476.666666666668,26570.613194002137,26523.981045095214,26491.87673208497
2015-01-20,27440,26600.0,26550.76923076923,26550.76923076923,26741.24709126454,26643.85497739636,26580.26919279564
2015-01-21,27900,26776.0,26647.14285714286,26647.14285714286,26965.43490319757,26802.584297289883,26696.29346701627
2015-01-22,27560,26904.0,26708.0,26708.0,27079.142129439526,26895.404115777073,26768.258987561374
2015-01-23,27720,27048.0,26771.25,26771.25,27200.55809840417,26993.770356868503,26843.745018357917
2015-01-26,27780,27194.0,26830.58823529412,26830.58823529412,27309.505894690297,27085.357024049797,26914.70142553037
2015-01-27,28000,27316.0,26895.555555555555,26895.555555555555,27438.533485606273,27189.685347287872,26993.56240222335
2015-01-28,27560,27382.0,26930.526315789473,26930.526315789473,27461.117122600757,27231.144585207345,27033.1430973107
2015-01-29,27200,27434.0,26944.0,26944.0,27412.767527831777,27227.715074505566,27044.385502227888
2015-01-30,27300,27532.0,26979.0,26960.95238095238,27391.956634191723,27235.55810024022,27061.03234905217
2015-02-02,27360,27582.0,27014.0,26979.090909090908,27386.07518616599,27248.883497335948,27079.892658586607
2015-02-03,27320,27570.0,27085.0,26993.91304347826,27373.9414163123,27256.409609911494,27094.594347948645
2015-02-04,27180,27498.0,27137.0,27001.666666666668,27338.39144501271,27248.40807371069,27099.67908251857
2015-02-05,27160,27458.0,27181.0,27008.0,27305.740293198156,27239.237020327353,27103.176803470647
2015-02-06,27440,27430.0,27239.0,27024.615384615383,27330.284206443303,27259.887785711406,27122.227520491648
2015-02-09,27900,27442.0,27318.0,27057.037037037036,27434.330395893572,27325.232493707426,27165.196811555757
2015-02-10,27560,27398.0,27357.0,27075.0,27457.262637481137,27349.035380335914,27186.52922827198
2015-02-11,27100,27352.0,27367.0,27075.862068965518,27392.112347633556,27323.940248021045,27181.951059452404
2015-02-12,26880,27320.0,27377.0,27069.333333333332,27298.774258390633,27279.450762215427,27166.290279112498
2015-02-13,27220,27312.0,27422.0,27074.1935483871,27284.42314065206,27273.522407268167,27169.02379835718
2015-02-16,27480,27324.0,27453.0,27086.875,27320.04049328674,27294.020248629775,27184.56923015864
2015-02-17,27540,27346.0,27458.0,27100.60606060606,27360.08641556808,27318.341468046758,27202.03643223972
2015-02-23,27340,27362.0,27430.0,27107.647058823528,27356.43035979244,27320.47519297709,27208.707364228503
2015-02-24,27340,27380.0,27419.0,27114.285714285714,27353.440358378073,27322.392424927624,27214.958433689273
2015-02-25,27580,27394.0,27412.0,27127.222222222223,27394.663062581796,27347.613547238074,27232.08479831534
2015-02-26,27500,27354.0,27398.0,27137.297297297297,27413.826659713715,27362.49328815979,27244.479237611475
2015-02-27,27140,27312.0,27355.0,27137.36842105263,27364.015693638994,27340.820141384276,27239.710030312144
2015-03-02,28460,27448.0,27400.0,27171.28205128205,27563.36513913896,27449.60352746629,27294.705839756058
2015-03-03,28360,27596.0,27458.0,27201.0,27708.25515966558,27537.920137544006,27342.13386534827
2015-03-04,28740,27748.0,27530.0,27238.536585365855,27895.89526880477,27654.326509040606,27403.646547300996
2015-03-05,28440,27844.0,27584.0,27267.14285714286,27994.84503428306,27730.28765115541,27448.74506472564
2015-03-06,28840,27974.0,27660.0,27303.720930232557,28148.537064710323,27837.423006441517,27508.64496176709
2015-03-09,28400,28080.0,27721.0,27328.636363636364,28194.264290571795,27891.665277527805,27546.631840968705
2015-03-10,28420,28188.0,27784.0,27352.88888888889,28235.312061923738,27942.54598491658,27583.48985473982
2015-03-11,29480,28378.0,27886.0,27399.130434782608,28461.64113315408,28090.45119903638,27662.780120932166
2015-03-12,28940,28522.0,27938.0,27431.91489361702,28548.622444746205,28172.1003227921,27715.701347391634
2015-03-13,29140,28722.0,28017.0,27467.5,28656.152688771177,28265.043081777643,27774.21076041687
2015-03-16,29400,28816.0,28132.0,27506.938775510203,28791.404911928385,28373.94183095302,27840.448019906784
2015-03-17,29940,28974.0,28285.0,27555.6,29000.24955133008,28524.097757547584,27925.312063309226
2015-03-18,30060,29106.0,28427.0,27604.70588235294,29192.93837254577,28671.267607912952,28010.94267016429
2015-03-19,29400,29202.0,28523.0,27639.23076923077,29230.587047646146,28741.054006900937,28066.257849631733
2015-03-20,29280,29246.0,28610.0,27670.188679245282,29239.57143683894,28792.638549370644,28114.25394770227
2015-03-23,29340,29340.0,28710.0,27701.11111111111,29257.831534842884,28845.00365909027,28162.399407293957
2015-03-24,29520,29450.0,28819.0,27734.18181818182,29305.49929580762,28909.55160951946,28215.37998551517
2015-03-25,29700,29472.0,28925.0,27769.285714285714,29377.227641241716,28985.11051232837,28272.95832736933
2015-03-26,28420,29420.0,28971.0,27780.701754385966,29203.184376510817,28931.110639311948,28278.62708487538
2015-03-27,28420,29348.0,29035.0,27791.724137931036,29060.7859617081,28882.28633110149,28284.046058911368
2015-03-30,28560,29264.0,29040.0,27804.745762711864,28969.733311871663,28851.508494769027,28294.565345865132
2015-03-31,28820,29152.0,29063.0,27821.666666666668,28942.508912674748,28848.500266336585,28314.48852073509
2015-04-01,28460,28992.0,29049.0,27852.666666666668,28854.779595833774,28811.4174915618,28319.977790619072
2015-04-02,28680,28920.0,29061.0,27886.333333333332,28823.00136194974,28798.876219700756,28333.492532327982
2015-04-03,28680,28860.0,29053.0,27932.666666666668,28797.001030276366,28787.5339563381,28346.438433442494
2015-04-06,29400,28866.0,29103.0,27987.0,28906.637496553558,28845.960617827193,28385.621423896016
2015-04-07,29240,28838.0,29144.0,28036.333333333332,28967.24899197418,28883.544377232847,28417.25727572255
2015-04-08,29580,28826.0,29149.0,28091.333333333332,29078.65846340774,28949.963342073053,28460.12938542492
2015-04-09,29660,28950.0,29185.0,28147.0,29184.357077717726,29017.668755612252,28504.1904832775
2015-04-10,29800,29088.0,29218.0,28197.333333333332,29296.292287160835,29092.259099903702,28551.588112101137
2015-04-13,29580,29190.0,29227.0,28242.0,29347.875557697396,29138.757205236572,28589.062914860126
2015-04-14,29480,29256.0,29204.0,28288.666666666668,29371.898202629967,29171.286008667135,28621.410054922493
2015-04-15,28920,29302.0,29147.0,28332.0,29289.73483972546,29147.33436197837,28632.212896416706
2015-04-16,29540,29388.0,29154.0,28376.666666666668,29335.237620306154,29184.758862617975,28664.945151272645
2015-04-17,29000,29420.0,29140.0,28402.666666666668,29274.28529921836,29167.150957890084,28676.986908388164
2015-04-20,28600,29340.0,29103.0,28414.333333333332,29151.687928499632,29113.10374784431,28674.22872107034
2015-04-21,28880,29304.0,29071.0,28436.333333333332,29102.290108948284,29090.891182142954,28681.578486177023
2015-04-22,29220,29268.0,29047.0,28461.333333333332,29123.691912415066,29103.193377758398,28700.753688127123
2015-04-23,29020,29204.0,29077.0,28482.0,29104.838833759222,29095.266632471456,28712.0911927353
2015-04-24,28200,29044.0,29066.0,28485.333333333332,28940.32265595495,29009.96842077891,28693.95457000699
2015-04-27,27900,28876.0,29033.0,28491.0,28751.173057487886,28904.218194041165,28665.90901012599
2015-04-28,27320,28660.0,28958.0,28493.0,28490.959746554916,28753.289976942535,28618.486585784576
2015-04-29,27700,28538.0,28920.0,28499.666666666668,28347.148870995403,28652.946392807535,28586.203191884648
2015-04-30,28200,28404.0,28896.0,28513.666666666668,28320.394528904217,28609.796870769103,28572.660724013498
